,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp
448,27.0,-80.0,297.1593,295.70328,291.45648
449,27.0,-79.375,298.76868,298.7386,297.91882
450,27.0,-78.75,296.85388,296.45898,295.23627
451,27.0,-78.125,297.0878,296.71902,295.64264
452,27.0,-77.5,298.01923,297.84384,297.08795
453,27.0,-76.875,298.81604,298.80222,298.07507
454,27.0,-76.25,298.97595,298.9614,298.2782
455,27.0,-75.625,299.1838,299.17032,298.5204
456,27.0,-75.0,299.35916,299.34366,298.50818
457,27.0,-74.375,299.2127,299.19577,297.73822
458,27.0,-73.75,298.88983,298.87512,297.6405
459,27.0,-73.125,298.75266,298.73798,297.97058
460,27.0,-72.5,298.72412,298.70908,298.06726
461,27.0,-71.875,298.57278,298.5563,297.71277
462,27.0,-71.25,298.18112,298.1657,296.9726
463,27.0,-70.625,297.78455,297.77194,296.84363
464,27.0,-70.0,297.7724,297.7612,297.0077
465,27.0,-69.375,297.99408,297.98276,297.36322
466,27.0,-68.75,298.2138,298.19992,297.64246
467,27.0,-68.125,298.30798,298.29486,297.71277
468,27.0,-67.5,298.51535,298.5019,297.82214
469,27.0,-66.875,298.53772,298.52493,297.74255
470,27.5,-125.0,293.38144,293.3661,292.53406
471,27.5,-124.375,293.07462,293.06094,292.36578
472,27.5,-123.75,292.59647,292.5839,291.84656
473,27.5,-123.125,292.44513,292.43323,291.8075
474,27.5,-122.5,292.52844,292.51407,291.925
475,27.5,-121.875,292.60922,292.59647,292.01843
476,27.5,-121.25,292.75677,292.7394,291.90564
477,27.5,-120.625,292.52396,292.50632,291.54968
478,27.5,-120.0,292.14072,292.12503,291.33093
479,27.5,-119.375,292.14365,292.12817,291.35437
480,27.5,-118.75,291.96368,291.94528,291.08875
481,27.5,-118.125,291.71182,291.69418,291.08875
482,27.5,-117.5,291.9131,291.8974,290.9403
483,27.5,-116.875,291.86157,291.84302,290.71863
484,27.5,-116.25,291.36792,291.34842,290.7375
485,27.5,-115.625,291.47208,291.45502,291.04187
486,27.5,-115.0,293.26688,292.23868,291.27863
487,27.5,-114.375,296.6347,292.68216,289.8255
488,27.5,-113.75,296.9726,287.16708,284.4211
489,27.5,-113.125,297.44315,287.4352,284.87424
490,27.5,-112.5,294.9807,289.4496,287.51877
491,27.5,-111.875,292.18134,291.7336,289.4094
492,27.5,-111.25,291.92682,291.7643,290.1579
493,27.5,-110.625,295.4638,291.1149,289.36252
494,27.5,-110.0,302.1494,291.35684,287.2844
495,27.5,-109.375,300.72433,290.75955,285.7922
496,27.5,-108.75,296.06107,287.64465,280.52658
497,27.5,-108.125,289.322,281.94547,274.34006
498,27.5,-107.5,285.3908,278.14917,271.37692
499,27.5,-106.875,288.7769,279.51028,273.2426
500,27.5,-106.25,291.87677,281.9651,275.3879
501,27.5,-105.625,293.61255,283.64584,275.92502
